count|model|name|info|keep?
20|gamification.goal.definition|Gamification Goal Definition|Goal definition      A goal definition contains the way to evaluate an objective     Each module wanting to be able to set goals to the users needs to create     a new gamification_goal_definition     |
19|amazon.adjustment.reason.code|amazon.adjustment.reason.code| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
19|x_ticket_sub|Ticket Type Subcategory| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
19|project.task.type|Task Stage| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
19|uom.uom|Product Unit of Measure| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
19|mail.activity.type|Activity Type| Activity Types are used to categorize activities. Each type is a different     kind of activity e.g. call, mail, meeting. An activity can be generic i.e.     available for all models using activities; or specific to a model in which     case res_model_id field should be used. |
18|account.fiscal.position.tax|Tax Mapping of Fiscal Position| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|sapentia_shopware_importer.article_overide_map|Shopware Product Mapping Overide| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|rules_engine.carrier|Rules Engine Carriers| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|product.pricelist|Pricelist| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|documents.workflow.action|Document Workflow Tag Action| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|account.account.type|Account Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
18|project.project|Project| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17|amazon.developer.details.ept|amazon developer details ept| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17|account.tax.group|Tax Group| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17|payment.icon|Payment Icon| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17|crm.team|Sales Team| A mixin for models that inherits mail.alias. This mixin initializes the         alias_id column in database, and manages the expected one-to-one         relation between your model and mail aliases.     |
15|account.payment.term.line|Payment Terms Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
15|account.payment.term|Payment Terms| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
15|account.incoterms|Incoterms| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
15|ir.default|Default Values| User-defined default values for fields. |
14|documents.folder|Documents Workspace| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
14|documents.facet|Category| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
14|hr.department|HR Department| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
13|project.profitability.report|Project Profitability Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
13|helpdesk.ticket.type|Helpdesk Ticket Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
13|helpdesk.sla|Helpdesk SLA Policies| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
13|gamification.challenge.line|Gamification generic goal for challenge|Gamification challenge line      Predefined goal for 'gamification_challenge'     These are generic list of goals with only the target goal defined     Should only be created for the gamification.challenge object     |
13|date.range|Date Range| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
13|ks_dashboard_ninja.board|Dashboard Ninja| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|web_tour.tour|Tours| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|sapentia_shopware_importer.sale_team_map|Shopware Sales Team Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|rules_engine.pick_costs|Rules Engine Warehouse Pick Costs| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|rules_engine.release_conditions|Rules Engine Release Conditions| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|payment.acquirer|Payment Acquirer| Acquirer Model. Each specific acquirer can extend the model by adding     its own fields, using the acquirer_name as a prefix for the new fields.     Using the required_if_provider='<name>' attribute on fields it is possible     to have required fields that depend on a specific acquirer.      Each acquirer has a link to an ir.ui.view record that is a template of     a button used to display the payment form. See examples in ``payment_ingenico``     and ``payment_paypal`` modules.      Methods that should be added in an acquirer-specific implementation:       - ``<name>_form_generate_values(self, reference, amount, currency,        partner_id=False, partner_values=None, tx_custom_values=None)``:        method that generates the values used to render the form button template.      - ``<name>_get_form_action_url(self):``: method that returns the url of        the button form. It is used for example in ecommerce application if you        want to post some data to the acquirer.      - ``<name>_compute_fees(self, amount, currency_id, country_id)``: computes        the fees of the acquirer, using generic fields defined on the acquirer        model (see fields definition).      Each acquirer should also define controllers to handle communication between     OpenERP and the acquirer. It generally consists in return urls given to the     button form and that the acquirer uses to send the customer back after the     transaction, with transaction details given as a POST request.     |
12|account.tax.report.line|Account Tax Report Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
12|documents.workflow.rule|A set of condition and actions which will be available to all attachments matching the conditions| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
11|account.tax.template|Templates for Taxes| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
11|product.attribute|Product Attribute| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
11|res.partner.category|Partner Tags| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
10|utm.medium|UTM Medium| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
10|project.timesheet.forecast.report.analysis|Timesheet & Planning Statistics| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
10|res.bank|Bank| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
10|helpdesk.team|Helpdesk Team| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
9|gamification.challenge|Gamification Challenge|Gamification challenge      Set of predifined objectives assigned to people with rules for recurrence and     rewards      If 'user_ids' is defined and 'period' is different than 'one', the set will     be assigned to the users for each period (eg: every 1st of each month if     'monthly' is selected)     |
9|gamification.badge|Gamification Badge|Badge object that users can send and receive|
9|fbm.sale.order.report.ept|FBM Sale Order Report Ept| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
8|rules_engine.warehouse_tariff|Rules Engine Warehouse Tarrifs| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
8|account.fiscal.position|Fiscal Position|     Inherited this model for relating with vat configuration.     @author: Maulik Barad on Date 15-Jan-2020.     |
8|approval.category|Approval Category| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|amazon.adjustment.reason.group|amazon.adjustment.reason.group| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|mrp.workcenter.productivity.loss|Workcenter Productivity Losses| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|website.menu|Website Menu| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|hr.leave.type|Time Off Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|account.reconcile.model|Preset to create journal entries during a invoices and payments matching| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|calendar.alarm|Event Alarm| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|decimal.precision|Decimal Precision| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|amazon.marketplace.ept|Amazon Marketplace Details| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|account.group|Account Group| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
7|amazon.instance.ept|Amazon Instance Details| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
6|sapentia_shopware_importer.customer_category_map|Shopware Customer Category Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
6|res.partner.title|Partner Title| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
6|report.paperformat|Paper Format Config| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
6|website.page|Page| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
6|crm.lead.scoring.frequency.field|Fields that can be used for predictive lead scoring computation| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
6|digest.tip|Digest Tips| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|utm.source|UTM Source| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|gamification.karma.rank|Rank based on karma| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|uom.category|Product UoM Categories| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|hr.plan.activity.type|Plan activity type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|iap.account|IAP Account| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|helpdesk.stage|Helpdesk Stage| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|mail.compose.message|Email composition wizard| Generic message composition wizard. You may inherit from this wizard         at model and view levels to provide specific features.          The behavior of the wizard depends on the composition_mode field:         - 'comment': post on a record. The wizard is pre-populated via ``get_record_data``         - 'mass_mail': wizard in mass mailing mode where the mail details can             contain template placeholders that will be merged with actual data             before being sent to each recipient.     |
5|calendar.attendee|Calendar Attendee Information| Calendar Attendee Information |
5|barcode.rule|Barcode Rule| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|rules_engine.incoterm_rules|Automatic Incoterm Rules| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|ir.actions.act_url|Action URL| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|crm.lead|Lead/Opportunity| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5|calendar.event|Calendar Event| Model for Calendar Event          Special context keys :             - `no_mail_to_attendees` : disabled sending email to attendees when creating/editing a meeting     |
4|utm.campaign|UTM Campaign| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|resource.calendar|Resource Working Time| Calendar model for a resource. It has       - attendance_ids: list of resource.calendar.attendance that are a working                        interval in a given weekday.      - leave_ids: list of leaves linked to this calendar. A leave can be general                   or linked to a specific resource, depending on its resource_id.      All methods in this class use intervals. An interval is a tuple holding     (begin_datetime, end_datetime). A list of intervals is therefore a list of     tuples, holding several intervals of work or leaves. |
4|report.layout|Report Layout| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|mrp.workcenter.productivity.loss.type|MRP Workorder productivity losses| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|mis.report.style|MIS Report Style| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|ks_dashboard_ninja.board_template|Dashboard Ninja Template| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|res.country.group|Country Group| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|ir.actions.todo|Configuration Wizards|     Configuration Wizards     |
4|slide.channel.partner|Channel / Partners (Members)| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|utm.stage|Campaign Stage|Stage for utm campaigns. |
4|crm.stage|CRM Stages| Model for case stages. This models the main stages of a document         management flow. Main CRM objects (leads, opportunities, project         issues, ...) will now use only stages, instead of state and stages.         Stages are for example used to display the kanban view of records.     |
4|account.financial.html.report|Account Report (HTML)| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4|documents.share|Documents Share| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
3|hr.leave.report|Time Off Summary / Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
3|account.payment.method|Payment Methods| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
3|crm.lost.reason|Opp. Lost Reason| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
3|mis.report|MIS Report Template|A MIS report template (without period information)      The MIS report holds:     * a list of explicit queries; the result of each query is       stored in a variable with same name as a query, containing as list       of data structures populated with attributes for each fields to fetch;       when queries have an aggregate method and no fields to group, it returns       a data structure with the aggregated fields     * a list of KPI to be evaluated based on the variables resulting       from the accounting data and queries (KPI expressions can references       queries and accounting expression - see AccoutingExpressionProcessor)     |
3|mis.report.query|MIS Report Query|"A query to fetch arbitrary data for a MIS report.      A query works on a model and has a domain and list of fields to fetch.     At runtime, the domain is expanded with a ""and"" on the date/datetime field.     "|
3|mis.report.instance|MIS Report Instance|The MIS report instance combines everything to compute     a MIS report template for a set of periods.|
3|l10n_uk.vat.obligation|HMRC VAT Obligation| VAT obligations retrieved from HMRC |
3|account.online.link|Connection to an online banking institution| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|hr.plan|plan| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|complaint_by_order_line.complaints|complaint_by_order_line.complaints| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|rules_engine.warehouse_import_source|Warehouse Import Source| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|sapentia_shopware_importer.shopware_instance|Shopware Instance| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|sms.template|SMS Templates|Templates for sending SMS|
2|product.removal|Removal Strategy| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|purchase.requisition.type|Purchase Requisition Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|stock.warehouse.orderpoint|Minimum Inventory Rule| Defines Minimum stock rules. |
2|ir.mail_server|Mail Server|Represents an SMTP server, able to send outgoing emails, with SSL and TLS capabilities.|
2|account_followup.followup.line|Follow-up Criteria| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|date.range.type|Date Range Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|res.company|Companies| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|rules_engine.automatic_warehouse_imports|Automatic Warehouse Import| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2|hr.leave|Time Off|" Leave Requests Access specifications       - a regular employee / user       - can see all leaves;       - cannot see name field of leaves belonging to other user as it may contain         private information that we don't want to share to other people than         HR people;       - can modify only its own not validated leaves (except writing on state to         bypass approval);       - can discuss on its leave requests;       - can reset only its own leaves;       - cannot validate any leaves;      - an Officer       - can see all leaves;       - can validate ""HR"" single validation leaves from people if        - he is the employee manager;        - he is the department manager;        - he is member of the same department;        - target employee has no manager and no department manager;       - can validate ""Manager"" single validation leaves from people if        - he is the employee manager;        - he is the department manager;        - target employee has no manager and no department manager;       - can first validate ""Both"" double validation leaves from people like ""HR""         single validation, moving the leaves to validate1 state;       - cannot validate its own leaves;       - can reset only its own leaves;       - can refuse all leaves;      - a Manager       - can do everything he wants      On top of that multicompany rules apply based on company defined on the     leave request leave type.     "|
1|sale.workflow.process.ept|sale workflow process| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|account.online.account|representation of an online bank account| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|website|Website| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|rules_engine.warehouse_export_destination|Warehouse Export Destination| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|utm.tag|UTM Tag|Model of categories of utm campaigns, i.e. marketing, newsletter, ... |
1|hr.leave.report.calendar|Time Off Calendar| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|resource.calendar.leaves|Resource Time Off Detail| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|product.pricelist.item|Pricelist Rule| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|sms.sms|Outgoing SMS| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|sapentia_shopware_importer.manual_import_wizard|Manual Shopware Import Wizard| Model super-class for transient records, meant to be temporarily     persistent, and regularly vacuum-cleaned.      A TransientModel has a simplified access rights management, all users can     create new records, and may only access the records they created. The     superuser has unrestricted access to all TransientModel records.     |
1|mis.budget.item|MIS Budget Item (by KPI)| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|fetchmail.server|Incoming Mail Server|Incoming POP/IMAP mail server account|
1|digest.digest|Digest| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|slide.channel.tag.group|Channel/Course tags| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|barcode.nomenclature|Barcode Nomenclature| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|rules_engine.automatic_warehouse_exports|Automatic Warehouse Export| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|amazon.seller.ept|Amazon Seller Details| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|account.chart.template|Account Chart Template| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|hr.leave.allocation|Time Off Allocation| Allocation Requests Access specifications: similar to leave requests |
1|slide.slide|Slides| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|slide.channel|Slide Channel| A channel is a container of slides. |
1|mis.budget|MIS Budget by KPI| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1|crossovered.budget|Budget| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
0|removal.orders.lines.ept|removal.orders.lines.ept| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
